record_id,dataset_type,aoi_id,aoi_name,corridor_id,corridor_name,period_start,period_end,scene_date,tile_id,weather_severity_score,eccc_temperature_mean_c,eccc_temperature_max_c,eccc_temperature_min_c,eccc_precip_total_mm,eccc_wind_gust_max_kmh,eccc_weather_stress_score,worldcover_tree_pct,worldcover_shrub_grass_pct,worldcover_built_pct,worldcover_bare_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,sentinel2_ndvi_change,sentinel2_ndmi_change,cloud_filtered_pct,vegetation_exposure_score,vegetation_dryness_score,vegetation_change_score,canopy_exposure_score,public_outage_count,public_customers_affected,public_outage_history_score,tree_related_outage_count_proxy,weather_related_outage_count_proxy,terrain_access_score,transmission_buffer_width_m,area_hectares,intervention_type,intervention_applied,intervention_cost_level,intervention_lead_time_days,intervention_description,risk_score,risk_level,target_outage_impact_proxy,target_customer_impact_proxy,data_status,data_source_notes,synthetic_true_effect_pct,observed_outage_impact_proxy,post_intervention_outage_impact_proxy
SURREY-TX-BUF-200M__no_action,legacy_corridor,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,2026-01-19,2026-05-31,,,9.85,14.2,15.2,13.1,0.0,16.9,21.37,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,10.75,41.16,45.1,38.53,41.16,3651,490065,70.51,346,301,50.0,200,3580.0,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",35.39,Low,39.93,173434.0,open_free_processed;unofficial_archive_proxy;derived_proxy,Legacy combined corridor dataset including demo corridors.,,,
SURREY-TX-BUF-200M__vegetation_patrol,legacy_corridor,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,2026-01-19,2026-05-31,,,9.85,14.2,15.2,13.1,0.0,16.9,21.37,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,10.75,41.16,45.1,38.53,41.16,3651,490065,70.51,346,301,50.0,200,3580.0,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,35.39,Low,39.93,173434.0,open_free_processed;unofficial_archive_proxy;derived_proxy;demo_synthetic,Legacy combined corridor dataset including demo corridors. Intervention scenario 'vegetation_patrol' is demo_synthetic - not observed treatment data.,,,
SURREY-TX-BUF-200M__vegetation_trimming,legacy_corridor,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,2026-01-19,2026-05-31,,,9.85,14.2,15.2,13.1,0.0,16.9,21.37,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,10.75,41.16,45.1,38.53,41.16,3651,490065,70.51,346,301,50.0,200,3580.0,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,35.39,Low,39.93,173434.0,open_free_processed;unofficial_archive_proxy;derived_proxy;demo_synthetic,Legacy combined corridor dataset including demo corridors. Intervention scenario 'vegetation_trimming' is demo_synthetic - not observed treatment data.,,,
SURREY-TX-BUF-200M__crew_pre_staging,legacy_corridor,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,2026-01-19,2026-05-31,,,9.85,14.2,15.2,13.1,0.0,16.9,21.37,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,10.75,41.16,45.1,38.53,41.16,3651,490065,70.51,346,301,50.0,200,3580.0,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,35.39,Low,39.93,173434.0,open_free_processed;unofficial_archive_proxy;derived_proxy;demo_synthetic,Legacy combined corridor dataset including demo corridors. Intervention scenario 'crew_pre_staging' is demo_synthetic - not observed treatment data.,,,
SURREY-TX-BUF-200M__asset_inspection,legacy_corridor,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,2026-01-19,2026-05-31,,,9.85,14.2,15.2,13.1,0.0,16.9,21.37,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,10.75,41.16,45.1,38.53,41.16,3651,490065,70.51,346,301,50.0,200,3580.0,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,35.39,Low,39.93,173434.0,open_free_processed;unofficial_archive_proxy;derived_proxy;demo_synthetic,Legacy combined corridor dataset including demo corridors. Intervention scenario 'asset_inspection' is demo_synthetic - not observed treatment data.,,,
DEMO-COR-001__no_action,legacy_corridor,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,DEMO-COR-001,Demo corridor - Surrey (Lower Mainland),2026-01-19,2026-05-31,,,9.85,14.2,15.2,13.1,0.0,16.9,21.37,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,10.75,41.16,45.1,38.53,41.16,3651,490065,70.51,346,301,50.0,200,3580.0,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",67.6,Medium,52.81,331283.94,open_free_processed;demo_synthetic;unofficial_archive_proxy;derived_proxy,Demo corridor DEMO-COR-001 in Surrey; vegetation/weather from open/free processed AOI. Corridor geometry and length are demo_synthetic.,,,
DEMO-COR-001__vegetation_patrol,legacy_corridor,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,DEMO-COR-001,Demo corridor - Surrey (Lower Mainland),2026-01-19,2026-05-31,,,9.85,14.2,15.2,13.1,0.0,16.9,21.37,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,10.75,41.16,45.1,38.53,41.16,3651,490065,70.51,346,301,50.0,200,3580.0,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,67.6,Medium,52.81,331283.94,open_free_processed;demo_synthetic;unofficial_archive_proxy;derived_proxy;demo_synthetic,Demo corridor DEMO-COR-001 in Surrey; vegetation/weather from open/free processed AOI. Corridor geometry and length are demo_synthetic. Intervention scenario 'vegetation_patrol' is demo_synthetic - not observed treatment data.,,,
DEMO-COR-001__vegetation_trimming,legacy_corridor,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,DEMO-COR-001,Demo corridor - Surrey (Lower Mainland),2026-01-19,2026-05-31,,,9.85,14.2,15.2,13.1,0.0,16.9,21.37,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,10.75,41.16,45.1,38.53,41.16,3651,490065,70.51,346,301,50.0,200,3580.0,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,67.6,Medium,52.81,331283.94,open_free_processed;demo_synthetic;unofficial_archive_proxy;derived_proxy;demo_synthetic,Demo corridor DEMO-COR-001 in Surrey; vegetation/weather from open/free processed AOI. Corridor geometry and length are demo_synthetic. Intervention scenario 'vegetation_trimming' is demo_synthetic - not observed treatment data.,,,
DEMO-COR-001__crew_pre_staging,legacy_corridor,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,DEMO-COR-001,Demo corridor - Surrey (Lower Mainland),2026-01-19,2026-05-31,,,9.85,14.2,15.2,13.1,0.0,16.9,21.37,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,10.75,41.16,45.1,38.53,41.16,3651,490065,70.51,346,301,50.0,200,3580.0,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,67.6,Medium,52.81,331283.94,open_free_processed;demo_synthetic;unofficial_archive_proxy;derived_proxy;demo_synthetic,Demo corridor DEMO-COR-001 in Surrey; vegetation/weather from open/free processed AOI. Corridor geometry and length are demo_synthetic. Intervention scenario 'crew_pre_staging' is demo_synthetic - not observed treatment data.,,,
DEMO-COR-001__asset_inspection,legacy_corridor,SURREY-TX-BUF-200M,Surrey transmission corridor 200 m buffer,DEMO-COR-001,Demo corridor - Surrey (Lower Mainland),2026-01-19,2026-05-31,,,9.85,14.2,15.2,13.1,0.0,16.9,21.37,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,10.75,41.16,45.1,38.53,41.16,3651,490065,70.51,346,301,50.0,200,3580.0,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,67.6,Medium,52.81,331283.94,open_free_processed;demo_synthetic;unofficial_archive_proxy;derived_proxy;demo_synthetic,Demo corridor DEMO-COR-001 in Surrey; vegetation/weather from open/free processed AOI. Corridor geometry and length are demo_synthetic. Intervention scenario 'asset_inspection' is demo_synthetic - not observed treatment data.,,,
