scene_date,tile_id,eccc_temperature_mean_c,eccc_temperature_max_c,eccc_temperature_min_c,eccc_precip_total_mm,eccc_wind_gust_max_kmh,sentinel2_ndvi_mean,sentinel2_ndmi_mean,sentinel2_ndvi_change,sentinel2_ndmi_change,cloud_filtered_pct,public_outage_count,public_customers_affected,tree_related_outage_count_proxy,risk_score,target_outage_impact_proxy,target_customer_impact_proxy
2026-01-19,T10UDV,1.85,9.5,-1.5,0.0,5.0,0.1941,0.0287,0.0,0.0,15.15,8,75,0,27.03,27.18,20.27
2026-01-19,T10UEV,1.85,9.5,-1.5,0.0,5.0,0.1891,0.0471,0.0,0.0,5.36,8,75,0,27.03,27.18,20.27
2026-01-24,T10UDV,-0.49,6.4,-4.6,0.0,4.0,0.2024,0.0287,0.0083,0.0,16.11,6,75,1,26.41,25.94,19.81
2026-01-24,T10UEV,-0.49,6.4,-4.6,0.0,4.0,0.2304,0.061,0.0413,0.0139,9.1,6,75,1,26.41,25.94,19.81
2026-02-08,T10UDV,6.12,11.5,2.5,0.0,14.0,0.208,0.0289,0.0139,0.0002,16.11,2,140,0,25.13,23.44,35.18
2026-02-08,T10UEV,6.12,11.5,2.5,0.0,14.0,0.2435,0.0536,0.0544,0.0065,12.06,2,140,0,25.13,23.44,35.18
2026-02-28,T10UDV,5.49,10.2,0.7,0.0,6.0,0.2089,0.0274,0.0148,-0.0013,7.41,3,196,0,24.24,22.99,47.51
2026-02-28,T10UEV,5.49,10.2,0.7,0.0,6.0,0.1938,0.0015,0.0047,-0.0456,5.62,3,196,0,24.24,22.99,47.51
2026-03-05,T10UDV,8.55,12.1,6.6,0.5,9.0,0.1997,0.0079,0.0056,-0.0208,16.11,3,20,0,24.22,22.96,4.84
2026-03-30,T10UDV,4.33,8.5,-0.4,0.0,15.0,0.1253,-0.0044,-0.0688,-0.0331,2.31,4,189,0,26.57,25.42,50.22
2026-03-30,T10UEV,4.33,8.5,-0.4,0.0,15.0,0.2289,0.0219,0.0398,-0.0252,5.34,4,189,0,26.57,25.42,50.22
2026-04-04,T10UDV,10.52,15.2,5.2,0.0,18.0,0.2057,0.0007,0.0116,-0.028,14.01,1,1,0,24.73,22.74,0.25
2026-04-04,T10UEV,10.52,15.2,5.2,0.0,18.0,0.2525,0.0196,0.0634,-0.0275,11.91,1,1,0,24.73,22.74,0.25
2026-04-09,T10UDV,0.0,0.0,0.0,0.0,23.0,0.2235,0.0034,0.0294,-0.0253,16.11,7,143,2,30.25,29.74,43.26
2026-04-09,T10UEV,0.0,0.0,0.0,0.0,23.0,0.2667,0.0192,0.0776,-0.0279,12.07,7,143,2,30.25,29.74,43.26
2026-04-19,T10UDV,14.82,24.5,7.1,0.0,12.0,0.2615,0.0692,0.0674,0.0405,5.26,1,20,0,24.49,22.52,4.9
2026-04-24,T10UDV,0.0,0.0,0.0,0.0,12.0,0.2039,0.016,0.0098,-0.0127,9.95,5,251,0,27.34,26.46,68.62
2026-04-24,T10UEV,0.0,0.0,0.0,0.0,12.0,0.2845,0.0591,0.0954,0.012,6.72,5,251,0,27.34,26.46,68.62
2026-04-29,T10UDV,14.43,20.2,7.9,0.0,15.0,0.2325,0.0357,0.0384,0.007,14.88,2,82,0,25.42,23.7,20.84
2026-04-29,T10UEV,14.43,20.2,7.9,0.0,15.0,0.3066,0.0638,0.1175,0.0167,10.9,2,82,0,25.42,23.7,20.84
2026-05-04,T10UDV,19.98,27.9,11.4,0.0,10.0,0.2594,0.0403,0.0653,0.0116,10.7,3,83,0,26.06,24.61,21.63
2026-05-04,T10UEV,19.98,27.9,11.4,0.0,10.0,0.3362,0.0788,0.1471,0.0317,7.38,3,83,0,26.06,24.61,21.63
2026-05-11,T10UDV,16.53,22.9,10.9,0.0,14.0,0.2599,0.0497,0.0658,0.021,14.04,1,48,0,25.2,23.17,12.1
2026-05-11,T10UEV,16.53,22.9,10.9,0.0,14.0,0.3184,0.0815,0.1293,0.0344,10.47,1,48,0,25.2,23.17,12.1
2026-05-24,T10UEV,14.08,17.1,10.6,0.0,22.0,0.3567,0.0914,0.1676,0.0443,6.88,0,0,0,29.25,29.12,0.0
2026-05-31,T10UDV,13.59,21.4,5.4,0.0,4.0,0.2693,0.0412,0.0752,0.0125,16.11,1,1,0,22.78,20.98,0.23
2026-05-31,T10UEV,13.59,21.4,5.4,0.0,4.0,0.3451,0.0877,0.156,0.0406,12.07,1,1,0,22.78,20.98,0.23
