record_id,dataset_type,aoi_id,aoi_name,corridor_id,corridor_name,period_start,period_end,scene_date,tile_id,weather_severity_score,eccc_temperature_mean_c,eccc_temperature_max_c,eccc_temperature_min_c,eccc_precip_total_mm,eccc_wind_gust_max_kmh,eccc_weather_stress_score,worldcover_tree_pct,worldcover_shrub_grass_pct,worldcover_built_pct,worldcover_bare_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,sentinel2_ndvi_change,sentinel2_ndmi_change,cloud_filtered_pct,vegetation_exposure_score,vegetation_dryness_score,vegetation_change_score,canopy_exposure_score,public_outage_count,public_customers_affected,public_outage_history_score,tree_related_outage_count_proxy,weather_related_outage_count_proxy,terrain_access_score,transmission_buffer_width_m,area_hectares,intervention_type,intervention_applied,intervention_cost_level,intervention_lead_time_days,intervention_description,risk_score,risk_level,target_outage_impact_proxy,target_customer_impact_proxy,data_status,data_source_notes,synthetic_true_effect_pct,observed_outage_impact_proxy,post_intervention_outage_impact_proxy
SYN-CORR-005__2026-10-19__T10UDV__no_action,synthetic,SYN-CORR-005,Synthetic corridor 005,SYN-CORR-005,Synthetic demo corridor 005,2026-10-01,2026-10-28,2026-10-19,T10UDV,38.97,10.76,11.9,7.99,10.25,78.61,23.38,69.39,4.71,57.3,0.64,0.7329,0.2947,0.1483,0.0447,64.39,55.18,13.16,96.58,86.74,2041,237801,92.68,840,168,39.66,200,2095.4,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",54.64,Medium,61.1,129934.47,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,61.1,61.1
SYN-CORR-038__2026-01-28__T10UDV__vegetation_patrol,synthetic,SYN-CORR-038,Synthetic corridor 038,SYN-CORR-038,Synthetic demo corridor 038,2026-01-01,2026-01-28,2026-01-28,T10UDV,55.63,28.86,29.51,26.48,59.58,68.3,33.38,63.38,23.34,19.6,2.27,0.0807,-0.0997,0.1009,0.0156,46.96,70.54,62.46,33.86,79.22,4470,350541,37.05,359,1861,36.07,200,3651.2,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,54.43,Medium,52.74,190799.47,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,6.7,52.74,49.21
SYN-CORR-005__2026-04-22__T10UEV__vegetation_trimming,synthetic,SYN-CORR-005,Synthetic corridor 005,SYN-CORR-005,Synthetic demo corridor 005,2026-04-01,2026-04-28,2026-04-22,T10UEV,15.58,22.54,23.24,21.97,0.59,19.99,9.35,65.36,14.42,34.06,6.68,0.5277,-0.1092,0.0413,0.0348,78.07,63.38,63.65,55.54,81.7,2800,378871,70.52,642,110,63.19,200,3356.2,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,45.67,Medium,48.52,173030.39,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,23.59,48.52,37.07
SYN-CORR-039__2026-07-16__T10UDV__crew_pre_staging,synthetic,SYN-CORR-039,Synthetic corridor 039,SYN-CORR-039,Synthetic demo corridor 039,2026-07-01,2026-07-28,2026-07-16,T10UDV,50.27,-2.96,0.96,-6.28,18.72,85.34,30.16,27.8,21.84,7.31,4.06,0.2002,0.0655,0.1442,-0.025,66.19,49.99,41.81,9.96,34.75,2818,376357,29.36,471,32,32.51,200,905.2,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,44.23,Medium,42.58,166462.7,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,14.05,42.58,36.6
SYN-CORR-039__2026-09-20__T10UDV__asset_inspection,synthetic,SYN-CORR-039,Synthetic corridor 039,SYN-CORR-039,Synthetic demo corridor 039,2026-09-01,2026-09-28,2026-09-20,T10UDV,27.02,17.06,20.56,15.73,24.12,38.1,16.21,17.1,7.62,42.58,9.69,0.5374,0.09,0.1336,0.0575,11.8,27.35,38.75,57.48,21.38,1727,321718,8.76,831,681,38.95,200,1725.1,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,24.66,Low,21.56,79335.66,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'asset_inspection' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,8.37,21.56,19.76
SYN-CORR-023__2026-01-03__T10UDV__no_action,synthetic,SYN-CORR-023,Synthetic corridor 023,SYN-CORR-023,Synthetic demo corridor 023,2026-01-01,2026-01-28,2026-01-03,T10UDV,59.52,20.18,20.6,18.1,60.68,85.66,35.71,39.18,15.3,20.18,0.42,0.4555,-0.0851,0.0482,-0.0005,58.41,50.47,60.64,41.1,48.98,4517,666154,62.73,1492,326,44.57,200,965.3,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",55.95,Medium,57.54,372713.16,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,57.54,57.54
SYN-CORR-009__2026-08-23__T10UDV__vegetation_patrol,synthetic,SYN-CORR-009,Synthetic corridor 009,SYN-CORR-009,Synthetic demo corridor 009,2026-08-01,2026-08-28,2026-08-23,T10UDV,59.78,22.4,24.77,21.07,38.58,95.86,35.87,74.38,17.34,48.58,3.32,0.4636,-0.1852,0.0562,0.0158,49.07,67.72,73.15,42.72,92.97,2233,303150,48.67,1047,317,16.62,200,4218.3,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,55.62,Medium,56.53,168612.03,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,6.91,56.53,52.62
SYN-CORR-002__2026-01-26__T10UEV__vegetation_trimming,synthetic,SYN-CORR-002,Synthetic corridor 002,SYN-CORR-002,Synthetic demo corridor 002,2026-01-01,2026-01-28,2026-01-26,T10UEV,54.31,-1.23,0.62,-5.38,61.49,72.7,32.59,46.55,33.61,13.14,8.08,0.2469,0.2286,-0.0049,0.0929,3.74,67.55,21.43,0.62,58.19,744,99122,23.02,236,108,83.28,200,2817.8,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,54.92,Medium,48.72,54437.8,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,20.48,48.72,38.74
SYN-CORR-046__2026-04-28__T10UEV__crew_pre_staging,synthetic,SYN-CORR-046,Synthetic corridor 046,SYN-CORR-046,Synthetic demo corridor 046,2026-04-01,2026-04-28,2026-04-28,T10UEV,60.26,26.27,26.74,22.54,71.26,74.86,36.16,17.35,21.75,8.37,2.62,0.7447,0.3796,0.181,-0.0139,77.2,43.18,2.55,98.94,21.69,1711,181449,31.59,566,27,51.51,200,4240.0,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,48.53,Medium,45.84,88057.2,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,16.05,45.84,38.48
SYN-CORR-007__2026-11-05__T10UEV__asset_inspection,synthetic,SYN-CORR-007,Synthetic corridor 007,SYN-CORR-007,Synthetic demo corridor 007,2026-11-01,2026-11-28,2026-11-05,T10UEV,59.54,0.04,0.65,-2.49,40.06,97.18,35.72,49.95,9.82,70.59,6.94,0.2672,0.3053,0.0743,-0.02,13.18,43.3,11.84,3.44,62.44,937,142095,22.97,405,377,11.11,200,3719.3,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,42.51,Medium,41.15,60404.58,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'asset_inspection' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,6.17,41.15,38.61
