eccc_wind_gust_max_kmh,weather_stress_score,worldcover_tree_pct,worldcover_shrub_grass_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,vegetation_dryness_score,wildfire_exposure_score,distance_to_active_fire_km
0.0,27.6,93.52,5.89,0.2479,-0.4261,100.0,6.5,170.61
0.0,27.6,81.38,18.62,0.2479,-0.4261,100.0,6.5,168.38
0.0,27.6,64.2,30.13,0.2479,-0.4261,100.0,6.5,165.55
0.0,27.6,55.32,44.38,0.2479,-0.4261,100.0,6.5,162.65
0.0,27.6,76.03,23.5,0.2479,-0.4261,100.0,6.5,160.49
0.0,27.6,80.16,19.84,0.2479,-0.4261,100.0,6.5,158.58
0.0,27.6,50.17,49.83,0.2479,-0.4261,100.0,6.5,156.25
0.0,27.6,85.76,14.24,0.2479,-0.4261,100.0,6.5,154.55
0.0,27.6,18.91,22.48,0.2479,-0.4261,100.0,6.5,153.28
0.0,27.6,96.69,2.65,0.2479,-0.4261,100.0,6.5,150.49
0.0,27.6,81.9,18.1,0.2479,-0.4261,100.0,6.5,146.48
0.0,27.6,74.24,18.46,0.2479,-0.4261,100.0,6.5,142.18
0.0,27.6,43.83,55.87,0.2479,-0.4261,100.0,6.5,137.4
0.0,27.6,84.39,15.38,0.2479,-0.4261,100.0,6.5,133.23
0.0,27.6,60.45,39.55,0.2479,-0.4261,100.0,6.5,129.3
0.0,27.6,70.8,29.2,0.2479,-0.4261,100.0,6.5,124.86
0.0,27.6,22.66,77.34,0.2479,-0.4261,100.0,6.5,120.97
0.0,27.6,93.11,6.89,0.2479,-0.4261,100.0,6.5,117.23
0.0,27.6,93.8,4.34,0.2479,-0.4261,100.0,6.5,113.11
0.0,27.6,74.08,23.18,0.2479,-0.4261,100.0,6.5,109.04
0.0,27.6,94.88,5.12,0.2479,-0.4261,100.0,6.5,106.25
0.0,27.6,79.89,20.11,0.2479,-0.4261,100.0,6.5,105.55
0.0,27.6,59.87,8.49,0.2479,-0.4261,100.0,6.5,103.84
0.0,27.6,21.86,75.69,0.2479,-0.4261,100.0,6.5,100.89
0.0,27.6,79.08,17.38,0.2479,-0.4261,100.0,6.5,97.47
0.0,27.6,67.99,31.22,0.2479,-0.4261,100.0,6.5,94.03
0.0,27.6,59.03,38.65,0.2479,-0.4261,100.0,6.5,90.91
0.0,27.6,73.58,18.99,0.2479,-0.4261,100.0,6.5,87.48
0.0,27.6,25.14,74.86,0.2479,-0.4261,100.0,6.5,85.13
0.0,27.6,69.21,30.79,0.2479,-0.4261,100.0,6.5,82.24
0.0,27.6,71.0,26.61,0.2479,-0.4261,100.0,6.5,79.78
0.0,27.6,22.17,77.33,0.2479,-0.4261,100.0,6.5,80.18
0.0,27.6,88.45,11.55,0.2479,-0.4261,100.0,6.5,80.58
0.0,27.6,74.42,25.58,0.2479,-0.4261,100.0,6.5,78.62
0.0,27.6,77.44,22.56,0.2479,-0.4261,100.0,6.5,75.64
0.0,27.6,86.51,13.49,0.2479,-0.4261,100.0,6.5,73.38
0.0,27.6,87.04,12.96,0.2479,-0.4261,100.0,6.5,71.62
0.0,27.6,73.72,25.73,0.2479,-0.4261,100.0,6.5,71.01
0.0,27.6,78.15,21.85,0.2479,-0.4261,100.0,6.5,72.35
0.0,27.6,7.06,92.94,0.2479,-0.4261,100.0,6.5,74.68
0.0,27.6,91.97,4.72,0.2479,-0.4261,100.0,6.5,77.09
0.0,27.6,11.31,88.69,0.2479,-0.4261,100.0,6.5,78.99
0.0,27.6,79.93,20.07,0.2479,-0.4261,100.0,6.5,81.81
0.0,27.6,18.08,47.05,0.2479,-0.4261,100.0,6.5,86.01
0.0,27.6,30.27,65.03,0.2479,-0.4261,100.0,6.5,88.29
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,34.5,15.29
0.0,27.6,0.0,87.5,0.2479,-0.4261,100.0,34.5,15.29
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,34.5,15.31
