date,municipality,public_outage_count,public_customers_affected,tree_related_outage_proxy,weather_related_outage_proxy,outage_history_proxy_score,data_status,data_source_notes
2026-01-02,Lumby,2,4,0,0,12.17,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-02,Vernon,3,9,0,0,32.12,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-02,West Kelowna,9,27405,0,0,17.19,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-03,Coldstream,4,8,0,0,12.64,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-03,Nakusp,9,225,7,0,30.26,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-03,New Denver,6,3073,2,0,11.62,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-03,Vernon,1,3,0,0,32.12,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-03,West Kelowna,7,56,0,0,17.19,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-04,Coldstream,1,2,0,0,12.64,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-04,Cranbrook,12,120,0,0,29.04,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-04,Fernie,5,10,0,0,18.52,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-04,Nakusp,17,1874,5,0,30.26,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-04,West Kelowna,23,46,20,0,17.19,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-05,Cranbrook,2,157,2,0,29.04,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-05,Fernie,9,163,0,0,18.52,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-05,Invermere,3,3,0,0,24.73,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-05,Kimberley,6,62,0,0,12.73,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
2026-01-05,Lake Country,8,58,0,0,15.14,parquet_archive_proxy,"Derived from bchydro_public_outages_history.parquet filtered to Okanagan/Kootenay (36 places, raw municipality labels incl. multi-place strings) with date >= 2026-01-01 (daily range 2026-01-02 .. 2026-06-11). Unofficial public archive — not BC Hydro internal history."
