region_name,municipality,unique_outages,total_customers_affected,average_customers_affected,max_customers_affected,avg_customers_per_unique_outage,median_customers_per_outage,tree_related_outage_count,weather_related_outage_count,percent_with_latlon,percent_with_polygon,suggested_priority_score,outage_history_proxy_score,region,as_of_date,history_start_date,data_status,data_source_notes
Okanagan/Kootenay,Vernon,1109,948502,84.08705673758865,3653,121.9819657348963,5.0,226,29,100.0,100.0,0.3212383619679889,32.12,Kelowna / Okanagan,2026-06-22,2026-01-01,unofficial_archive_proxy,Unofficial BC Hydro public outage archive proxy — all Okanagan/Kootenay municipalities/places from municipality summary. Not validated for operational planning.
Okanagan/Kootenay,Nakusp,629,976959,64.91421926910299,616,104.05405405405403,13.0,251,61,100.0,99.99335548172758,0.3025917850046363,30.26,Kelowna / Okanagan,2026-06-22,2026-01-01,unofficial_archive_proxy,Unofficial BC Hydro public outage archive proxy — all Okanagan/Kootenay municipalities/places from municipality summary. Not validated for operational planning.
Okanagan/Kootenay,Cranbrook,752,849261,96.28809523809524,4016,138.48537234042553,9.0,181,88,100.0,99.98866213151928,0.2904431929284075,29.04,Kelowna / Okanagan,2026-06-22,2026-01-01,unofficial_archive_proxy,Unofficial BC Hydro public outage archive proxy — all Okanagan/Kootenay municipalities/places from municipality summary. Not validated for operational planning.
Okanagan/Kootenay,Golden,580,750766,105.03161723559036,2087,169.67241379310346,14.0,143,71,100.0,100.0,0.2515771111266168,25.16,Kelowna / Okanagan,2026-06-22,2026-01-01,unofficial_archive_proxy,Unofficial BC Hydro public outage archive proxy — all Okanagan/Kootenay municipalities/places from municipality summary. Not validated for operational planning.
Okanagan/Kootenay,Invermere,442,770151,90.98062610750148,2039,230.52036199095025,7.0,108,133,100.0,100.0,0.2473066479242297,24.73,Kelowna / Okanagan,2026-06-22,2026-01-01,unofficial_archive_proxy,Unofficial BC Hydro public outage archive proxy — all Okanagan/Kootenay municipalities/places from municipality summary. Not validated for operational planning.
Okanagan/Kootenay,"Armstrong, Coldstream, Spallumcheen, Vernon",2,41210,3746.363636363637,3755,3707.5,3707.5,0,1,100.0,100.0,0.2134727889849253,21.35,Kelowna / Okanagan,2026-06-22,2026-01-01,unofficial_archive_proxy,Unofficial BC Hydro public outage archive proxy — all Okanagan/Kootenay municipalities/places from municipality summary. Not validated for operational planning.
Okanagan/Kootenay,Fernie,374,285178,71.56286072772899,2158,101.4385026737968,7.0,73,38,100.0,100.0,0.1852318243658532,18.52,Kelowna / Okanagan,2026-06-22,2026-01-01,unofficial_archive_proxy,Unofficial BC Hydro public outage archive proxy — all Okanagan/Kootenay municipalities/places from municipality summary. Not validated for operational planning.
Okanagan/Kootenay,"Peachland, Summerland, West Kelowna",8,201654,2725.054054054054,2747,2727.375,2727.5,3,0,100.0,100.0,0.1851877300511457,18.52,Kelowna / Okanagan,2026-06-22,2026-01-01,unofficial_archive_proxy,Unofficial BC Hydro public outage archive proxy — all Okanagan/Kootenay municipalities/places from municipality summary. Not validated for operational planning.
Okanagan/Kootenay,"Lake Country, Vernon",24,327468,2425.688888888889,3545,2574.9166666666665,3333.5,7,0,100.0,100.0,0.1838818002661954,18.39,Kelowna / Okanagan,2026-06-22,2026-01-01,unofficial_archive_proxy,Unofficial BC Hydro public outage archive proxy — all Okanagan/Kootenay municipalities/places from municipality summary. Not validated for operational planning.
Okanagan/Kootenay,"Coldstream, Spallumcheen, Vernon",4,43882,2925.4666666666667,3263,2465.5,2449.5,0,0,100.0,100.0,0.175392665096334,17.54,Kelowna / Okanagan,2026-06-22,2026-01-01,unofficial_archive_proxy,Unofficial BC Hydro public outage archive proxy — all Okanagan/Kootenay municipalities/places from municipality summary. Not validated for operational planning.
