aoi_id,scene_id,tile,sensing_date,ndvi_mean,ndmi_mean,cloud_filtered_pct,status,notes
okanagan_corridor,S2A_MSIL2A_20260108T190831_N0511_R013_T10UGA_20260109T012908,T10UGA,2026-01-08,0.13,-0.3657,0.07,processed,
okanagan_corridor,S2A_MSIL2A_20260405T185831_N0512_R113_T10UGA_20260406T030715,T10UGA,2026-04-05,0.2363,-0.4456,0.09,processed,
okanagan_corridor,S2A_MSIL2A_20260405T185831_N0512_R113_T10UGB_20260406T030715,T10UGB,2026-04-05,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2A_MSIL2A_20260405T185831_N0512_R113_T11ULR_20260406T030715,T11ULR,2026-04-05,0.2457,-0.4361,0.11,processed,
okanagan_corridor,S2A_MSIL2A_20260405T185831_N0512_R113_T11ULS_20260406T004012,T11ULS,2026-04-05,0.2613,-0.2776,0.0,processed,
okanagan_corridor,S2A_MSIL2A_20260405T185831_N0512_R113_T11ULS_20260406T030715,T11ULS,2026-04-05,0.2344,-0.4739,0.03,processed,
okanagan_corridor,S2A_MSIL2A_20260405T185831_N0512_R113_T11UMR_20260406T030715,T11UMR,2026-04-05,0.2706,-0.3407,0.01,processed,
okanagan_corridor,S2A_MSIL2A_20260405T185831_N0512_R113_T11UMS_20260406T004012,T11UMS,2026-04-05,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2A_MSIL2A_20260405T185831_N0512_R113_T11UMS_20260406T030715,T11UMS,2026-04-05,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2A_MSIL2A_20260408T190831_N0512_R013_T10UFA_20260409T013409,T10UFA,2026-04-08,0.1759,-0.5158,0.25,processed,
okanagan_corridor,S2A_MSIL2A_20260408T190831_N0512_R013_T10UFB_20260409T013409,T10UFB,2026-04-08,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2A_MSIL2A_20260408T190831_N0512_R013_T10UFV_20260409T013409,T10UFV,2026-04-08,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2A_MSIL2A_20260408T190831_N0512_R013_T10UGA_20260409T013409,T10UGA,2026-04-08,0.2268,-0.4621,0.18,processed,
okanagan_corridor,S2A_MSIL2A_20260408T190831_N0512_R013_T10UGB_20260409T013409,T10UGB,2026-04-08,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2A_MSIL2A_20260408T190831_N0512_R013_T10UGV_20260409T013409,T10UGV,2026-04-08,0.2253,-0.4634,0.05,processed,
okanagan_corridor,S2A_MSIL2A_20260408T190831_N0512_R013_T11ULQ_20260409T013409,T11ULQ,2026-04-08,0.2252,-0.4558,0.03,processed,
okanagan_corridor,S2A_MSIL2A_20260408T190831_N0512_R013_T11ULR_20260409T013409,T11ULR,2026-04-08,0.2382,-0.4466,0.16,processed,
okanagan_corridor,S2A_MSIL2A_20260408T190831_N0512_R013_T11ULS_20260409T013409,T11ULS,2026-04-08,0.242,-0.4664,0.09,processed,
