corridor_id,segment_id,region,length_km,centroid_lat,centroid_lon,worldcover_tree_pct,worldcover_shrub_grass_pct,worldcover_built_pct,worldcover_bare_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,sentinel2_ndvi_change,sentinel2_ndmi_change,vegetation_exposure_score,vegetation_dryness_score,vegetation_change_score,canopy_exposure_score,vegetation_score,vegetation_data_status,wildfire_exposure_score,wildfire_data_status,nearest_fire_km,eccc_weather_stress_score,weather_data_status,treatment_gap_score,treatment_data_status,outage_history_proxy_score,outage_data_status,terrain_score,terrain_data_status,planning_priority_score,planning_priority_level,top_reason_1,top_reason_2,top_reason_3,data_source_notes,as_of_date
OK-TX-2170,OK-TX-2170-S001,Kelowna / Okanagan,4.928,49.082599,-117.505503,93.52,5.89,0.59,0.0,0.2479,-0.4261,0.1866,-0.0564,100.0,100.0,62.2,71.31,86.2,computed,6.5,computed,170.61,27.6,computed,93.06,computed,15.936388888888887,unofficial_archive_proxy,51.3,synthetic_slope_proxy,49.05,Medium,Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),ECCC weather stress proxy,Public/proxy layers + synthetic treatment gap. Outage/weather history window starts 2026-01-01. Proof-of-process for Fujitsu + BC Hydro planning workflow — not outage prediction.,2026-06-22
OK-TX-2170,OK-TX-2170-S002,Kelowna / Okanagan,4.977,49.126689,-117.501978,81.38,18.62,0.0,0.0,0.2479,-0.4261,0.1866,-0.0564,100.0,100.0,62.2,71.31,86.2,computed,6.5,computed,168.38,27.6,computed,80.56,computed,15.936388888888887,unofficial_archive_proxy,68.06,synthetic_slope_proxy,48.85,Medium,Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),Terrain / access proxy,Public/proxy layers + synthetic treatment gap. Outage/weather history window starts 2026-01-01. Proof-of-process for Fujitsu + BC Hydro planning workflow — not outage prediction.,2026-06-22
OK-TX-2170,OK-TX-2170-S003,Kelowna / Okanagan,4.872,49.170718,-117.509571,64.2,30.13,0.0,0.0,0.2479,-0.4261,0.1866,-0.0564,80.25,100.0,62.2,59.46,75.34,computed,6.5,computed,165.55,27.6,computed,81.94,computed,15.936388888888887,unofficial_archive_proxy,47.07,synthetic_slope_proxy,44.25,Medium,Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),ECCC weather stress proxy,Public/proxy layers + synthetic treatment gap. Outage/weather history window starts 2026-01-01. Proof-of-process for Fujitsu + BC Hydro planning workflow — not outage prediction.,2026-06-22
OK-TX-2170,OK-TX-2170-S004,Kelowna / Okanagan,4.977,49.214513,-117.519908,55.32,44.38,0.3,0.0,0.2479,-0.4261,0.1866,-0.0564,69.15,100.0,62.2,52.8,69.23,computed,6.5,computed,162.65,27.6,computed,37.5,computed,15.936388888888887,unofficial_archive_proxy,55.13,synthetic_slope_proxy,36.86,Low,Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),ECCC weather stress proxy,Public/proxy layers + synthetic treatment gap. Outage/weather history window starts 2026-01-01. Proof-of-process for Fujitsu + BC Hydro planning workflow — not outage prediction.,2026-06-22
OK-TX-2170,OK-TX-2170-S005,Kelowna / Okanagan,4.834,49.258116,-117.520694,76.03,23.5,0.47,0.0,0.2479,-0.4261,0.1866,-0.0564,95.04,100.0,62.2,68.33,83.47,computed,6.5,computed,160.49,27.6,computed,51.39,computed,15.936388888888887,unofficial_archive_proxy,85.29,synthetic_slope_proxy,45.52,Medium,Vegetation cover / moisture (WorldCover + Sentinel-2),Terrain / access proxy,Treatment gap (synthetic — BC Hydro records would replace),Public/proxy layers + synthetic treatment gap. Outage/weather history window starts 2026-01-01. Proof-of-process for Fujitsu + BC Hydro planning workflow — not outage prediction.,2026-06-22
OK-TX-2170,OK-TX-2170-S006,Kelowna / Okanagan,4.893,49.301501,-117.519699,80.16,19.84,0.0,0.0,0.2479,-0.4261,0.1866,-0.0564,100.0,100.0,62.2,71.31,86.2,computed,6.5,computed,158.58,27.6,computed,54.17,computed,15.936388888888887,unofficial_archive_proxy,41.22,synthetic_slope_proxy,42.21,Medium,Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),ECCC weather stress proxy,Public/proxy layers + synthetic treatment gap. Outage/weather history window starts 2026-01-01. Proof-of-process for Fujitsu + BC Hydro planning workflow — not outage prediction.,2026-06-22
OK-TX-2170,OK-TX-2170-S007,Kelowna / Okanagan,4.95,49.345563,-117.526429,50.17,49.83,0.0,0.0,0.2479,-0.4261,0.1866,-0.0564,62.71,100.0,62.2,48.93,65.69,computed,6.5,computed,156.25,27.6,computed,30.56,computed,15.936388888888887,unofficial_archive_proxy,51.94,synthetic_slope_proxy,34.61,Low,Vegetation cover / moisture (WorldCover + Sentinel-2),ECCC weather stress proxy,Terrain / access proxy,Public/proxy layers + synthetic treatment gap. Outage/weather history window starts 2026-01-01. Proof-of-process for Fujitsu + BC Hydro planning workflow — not outage prediction.,2026-06-22
OK-TX-2170,OK-TX-2170-S008,Kelowna / Okanagan,4.904,49.389683,-117.525498,85.76,14.24,0.0,0.0,0.2479,-0.4261,0.1866,-0.0564,100.0,100.0,62.2,71.31,86.2,computed,6.5,computed,154.55,27.6,computed,25.0,computed,15.936388888888887,unofficial_archive_proxy,50.7,synthetic_slope_proxy,38.78,Low,Vegetation cover / moisture (WorldCover + Sentinel-2),ECCC weather stress proxy,Terrain / access proxy,Public/proxy layers + synthetic treatment gap. Outage/weather history window starts 2026-01-01. Proof-of-process for Fujitsu + BC Hydro planning workflow — not outage prediction.,2026-06-22
OK-TX-2170,OK-TX-2170-S009,Kelowna / Okanagan,4.389,49.431356,-117.521766,18.91,22.48,0.21,0.0,0.2479,-0.4261,0.1866,-0.0564,23.64,100.0,62.2,25.49,44.2,computed,6.5,computed,153.28,27.6,computed,50.0,computed,15.936388888888887,unofficial_archive_proxy,83.59,synthetic_slope_proxy,35.32,Low,Vegetation cover / moisture (WorldCover + Sentinel-2),Terrain / access proxy,Treatment gap (synthetic — BC Hydro records would replace),Public/proxy layers + synthetic treatment gap. Outage/weather history window starts 2026-01-01. Proof-of-process for Fujitsu + BC Hydro planning workflow — not outage prediction.,2026-06-22
OK-TX-2170,OK-TX-2170-S010,Kelowna / Okanagan,4.652,49.465398,-117.545224,96.69,2.65,0.33,0.33,0.2479,-0.4261,0.1866,-0.0564,100.0,100.0,62.2,71.31,86.2,computed,6.5,computed,150.49,27.6,computed,86.11,computed,15.936388888888887,unofficial_archive_proxy,67.48,synthetic_slope_proxy,49.63,Medium,Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),Terrain / access proxy,Public/proxy layers + synthetic treatment gap. Outage/weather history window starts 2026-01-01. Proof-of-process for Fujitsu + BC Hydro planning workflow — not outage prediction.,2026-06-22
OK-TX-2170,OK-TX-2170-S011,Kelowna / Okanagan,4.955,49.498085,-117.587959,81.9,18.1,0.0,0.0,0.2479,-0.4261,0.1866,-0.0564,100.0,100.0,62.2,71.31,86.2,computed,6.5,computed,146.48,27.6,computed,36.11,computed,15.936388888888887,unofficial_archive_proxy,71.46,synthetic_slope_proxy,42.53,Medium,Vegetation cover / moisture (WorldCover + Sentinel-2),Terrain / access proxy,ECCC weather stress proxy,Public/proxy layers + synthetic treatment gap. Outage/weather history window starts 2026-01-01. Proof-of-process for Fujitsu + BC Hydro planning workflow — not outage prediction.,2026-06-22
OK-TX-2170,OK-TX-2170-S012,Kelowna / Okanagan,4.981,49.528435,-117.636345,74.24,18.46,0.91,0.0,0.2479,-0.4261,0.1866,-0.0564,92.8,100.0,62.2,66.99,82.24,computed,6.5,computed,142.18,27.6,computed,62.5,computed,15.936388888888887,unofficial_archive_proxy,43.66,synthetic_slope_proxy,42.71,Medium,Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),ECCC weather stress proxy,Public/proxy layers + synthetic treatment gap. Outage/weather history window starts 2026-01-01. Proof-of-process for Fujitsu + BC Hydro planning workflow — not outage prediction.,2026-06-22
