date,aoi_id,aoi_name,region,station_name,station_lat,station_lon,eccc_temperature_mean_c,eccc_temperature_max_c,eccc_temperature_min_c,eccc_precip_total_mm,eccc_wind_speed_mean_kmh,eccc_wind_gust_max_kmh,wind_gust_stress_score,precipitation_stress_score,temperature_stress_score,short_term_dryness_proxy_score,eccc_weather_stress_score,hourly_observation_count,data_source,data_status,notes
2026-01-01,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,-2.59,-0.6,-4.2,0.0,0.0,0.0,0.0,0.0,50.38,75.0,21.33,16,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-02,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,0.62,3.2,-1.2,0.0,0.0,0.0,0.0,0.0,37.5,75.0,18.75,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-03,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,1.68,4.4,0.4,0.3,0.0,0.0,0.0,0.6,33.27,75.0,18.05,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-04,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,2.81,6.0,1.0,1.2,0.0,0.0,0.0,2.4,28.75,75.0,17.6,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-05,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,3.75,6.3,2.1,0.0,0.0,0.0,0.0,0.0,25.0,75.0,16.25,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-06,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,2.31,3.9,1.0,0.0,0.0,0.0,0.0,0.0,30.77,75.0,17.4,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-07,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,2.4,5.0,0.7,0.0,0.0,0.0,0.0,0.0,30.38,75.0,17.33,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-08,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,1.71,6.3,-0.9,0.0,0.0,0.0,0.0,0.0,33.17,75.0,17.88,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-09,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,3.47,5.5,2.1,0.0,0.0,0.0,0.0,0.0,26.13,75.0,16.48,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-10,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,2.52,5.2,-0.3,0.0,0.0,0.0,0.0,0.0,29.92,75.0,17.23,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-11,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,2.74,4.9,0.6,3.2,0.0,0.0,0.0,6.4,29.03,40.0,13.41,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-12,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,4.45,6.6,2.3,0.0,0.0,0.0,0.0,0.0,22.18,75.0,15.69,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-13,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,5.61,7.2,2.9,0.1,0.0,0.0,0.0,0.2,17.57,75.0,14.81,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-14,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,2.72,7.8,-0.3,0.0,0.0,0.0,0.0,0.0,29.13,75.0,17.08,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
2026-01-15,okanagan_corridor,Kelowna / Okanagan,Kelowna / Okanagan,KELOWNA UBCO,49.956,-119.378,3.97,8.8,0.5,0.0,0.0,0.0,0.0,0.0,24.12,75.0,16.07,24,ECCC/MSC GeoMet climate-hourly,open_free_processed,Daily aggregate from climate-hourly near Kelowna (KELOWNA UBCO).
